2,3,-1
5,6,-1
10,11,-1
15,16,-1
15,7,-1
14,15,-1
17,16,-1
19,9,-1
19,20,-1
19,21,-1
19,22,-1
18,19,-1
23,9,-1
23,20,-1
23,24,-1
23,25,-1
18,23,-1
26,9,-1
26,20,-1
26,27,-1
26,28,-1
18,26,-1
17,18,-1
14,17,-1
29,30,-1
34,35,-1
34,7,-1
33,34,-1
36,35,-1
36,18,-1
33,36,-1
37,38,-1
37,12,-1
33,37,-1
39,40,-1
44,45,-1
44,7,-1
43,44,-1
46,45,-1
46,18,-1
43,46,-1
47,48,-1
47,12,-1
43,47,-1
49,50,-1
49,31,-1
43,49,-1
51,50,-1
53,33,-1
53,54,-1
53,55,-1
53,56,-1
52,53,-1
57,33,-1
57,54,-1
57,21,-1
57,58,-1
52,57,-1
59,33,-1
59,54,-1
59,24,-1
59,60,-1
52,59,-1
61,33,-1
61,54,-1
61,27,-1
61,62,-1
52,61,-1
51,52,-1
43,51,-1
63,64,-1
70,71,-1
70,72,-1
69,70,-1
68,69,-1
74,75,-1
73,74,-1
68,73,-1
67,68,-1
66,67,-1
66,76,-1
78,72,-1
78,79,-1
77,78,-1
66,77,-1
65,66,-1
82,83,-1
82,72,-1
81,82,-1
80,81,-1
80,84,-1
80,85,-1
80,86,-1
65,80,-1
63,65,-1
43,63,-1
87,88,-1
92,93,-1
92,7,-1
91,92,-1
94,93,-1
94,18,-1
91,94,-1
95,96,-1
95,12,-1
91,95,-1
97,98,-1
97,31,-1
91,97,-1
99,98,-1
99,52,-1
91,99,-1
100,101,-1
100,41,-1
91,100,-1
102,101,-1
104,43,-1
104,105,-1
104,21,-1
104,106,-1
103,104,-1
107,43,-1
107,105,-1
107,24,-1
107,108,-1
103,107,-1
109,43,-1
109,105,-1
109,27,-1
109,110,-1
103,109,-1
102,103,-1
91,102,-1
111,112,-1
111,65,-1
91,111,-1
90,91,-1
90,113,-1
90,55,-1
90,114,-1
89,90,-1
87,89,-1
43,87,-1
115,88,-1
117,91,-1
117,118,-1
117,21,-1
117,119,-1
116,117,-1
120,91,-1
120,118,-1
120,24,-1
120,121,-1
116,120,-1
122,91,-1
122,118,-1
122,27,-1
122,123,-1
116,122,-1
115,116,-1
43,115,-1
42,43,-1
42,124,-1
42,55,-1
42,125,-1
41,42,-1
39,41,-1
33,39,-1
126,40,-1
126,103,-1
33,126,-1
127,128,-1
127,65,-1
33,127,-1
129,130,-1
129,89,-1
33,129,-1
131,130,-1
131,116,-1
33,131,-1
32,33,-1
32,132,-1
32,55,-1
32,133,-1
31,32,-1
29,31,-1
14,29,-1
134,30,-1
134,52,-1
14,134,-1
135,136,-1
135,41,-1
14,135,-1
137,136,-1
137,103,-1
14,137,-1
138,139,-1
138,65,-1
14,138,-1
140,141,-1
140,89,-1
14,140,-1
142,141,-1
142,116,-1
14,142,-1
13,14,-1
13,143,-1
13,21,-1
13,144,-1
12,13,-1
145,14,-1
145,143,-1
145,24,-1
145,146,-1
12,145,-1
147,14,-1
147,143,-1
147,27,-1
147,148,-1
12,147,-1
10,12,-1
9,10,-1
149,150,-1
149,31,-1
9,149,-1
151,150,-1
151,52,-1
9,151,-1
152,153,-1
152,41,-1
9,152,-1
154,153,-1
154,103,-1
9,154,-1
155,156,-1
155,65,-1
9,155,-1
157,158,-1
157,89,-1
9,157,-1
159,158,-1
159,116,-1
9,159,-1
8,9,-1
8,160,-1
8,55,-1
8,161,-1
7,8,-1
5,7,-1
4,5,-1
162,6,-1
162,18,-1
4,162,-1
163,164,-1
163,12,-1
4,163,-1
165,166,-1
165,31,-1
4,165,-1
167,166,-1
167,52,-1
4,167,-1
168,169,-1
168,41,-1
4,168,-1
170,169,-1
170,103,-1
4,170,-1
171,172,-1
171,65,-1
4,171,-1
173,174,-1
173,89,-1
4,173,-1
175,174,-1
175,116,-1
4,175,-1
2,4,-1
1,2,-1
177,178,-1
180,181,-1
180,7,-1
179,180,-1
182,181,-1
182,18,-1
179,182,-1
183,184,-1
183,12,-1
179,183,-1
185,186,-1
185,31,-1
179,185,-1
187,186,-1
187,52,-1
179,187,-1
188,189,-1
188,41,-1
179,188,-1
190,189,-1
190,103,-1
179,190,-1
191,192,-1
191,65,-1
179,191,-1
193,194,-1
193,89,-1
179,193,-1
195,194,-1
195,116,-1
179,195,-1
177,179,-1
176,177,-1
197,198,-1
200,201,-1
200,7,-1
199,200,-1
202,201,-1
202,18,-1
199,202,-1
203,204,-1
203,12,-1
199,203,-1
205,206,-1
205,31,-1
199,205,-1
207,206,-1
207,52,-1
199,207,-1
208,209,-1
208,41,-1
199,208,-1
210,209,-1
210,103,-1
199,210,-1
211,212,-1
211,65,-1
199,211,-1
213,214,-1
213,89,-1
199,213,-1
215,214,-1
215,116,-1
199,215,-1
197,199,-1
196,197,-1
217,218,-1
217,41,-1
216,217,-1
